# of Function,# of instructions,Load Store Registers (L/S Fully Aligned),                            Packed Operand (Non-L/S Semi Aligned),Optimized Operand (Non-L/S Fully Aligned),                            Load Store Operand (L/S Fully Aligned),Packed Data (Non-L/S Semi Aligned),                            Optimized Data (Non-L/S Fully Aligned),Load Store Data (L/S Fully Aligned),Packed Program (Non-L/S Semi Aligned),                            Optimized Program (Non-L/S Fully Aligned),Load Store Program (L/S Fully Aligned),Packed Total (Non-L/S Semi Aligned),                            Optimized Total (Non-L/S Fully Aligned),Load Store Total (L/S Fully Aligned),                            Optimized vs Packed,Optimized vs Load Store,                            L,S,C
180,43592,512,13,11,9,29984,30392,21896,1307760,1133392,1077984.10683603,683864,597088,560888.053418015,0.873109273188821,1.06454041294227,582,466,539
126,31522,512,13,11,9,32552,32600,17040,945660,819572,762648.037427754,505382,442386,398364.018713877,0.875349735447642,1.11050692135361,518,682,639
263,65525,512,13,11,9,19912,20504,17720,1965750,1703650,1564289.46822906,1002787,872329,799864.734114529,0.869904575946836,1.09059565048294,377,347,361
483,117467,512,14,11,10,34024,34312,24912,3758944,3054142,2915469.54191578,1913496,1561383,1482646.77095789,0.815984459857768,1.05310518363807,623,581,635
444,110137,512,13,11,9,23472,23888,18928,3304110,2863562,2579174.45252671,1675527,1455669,1308515.22626335,0.868782777000908,1.11245858724691,414,430,470
103,24255,512,14,12,9,40408,40408,18952,776160,679140,600398.813984451,428488,379978,319151.406992225,0.886787961389817,1.19058851590542,705,770,691
47,12315,1024,14,12,8,41768,41768,26168,394080,344820,334929.422122749,238808,214178,193632.711061375,0.896862751666611,1.10610443259307,761,702,773
354,88628,512,14,11,10,35624,36104,25904,2836096,2304328,2213923.2217485,1453672,1188268,1132865.61087425,0.817425113780825,1.04890464375822,692,529,687
450,109989,512,14,11,10,36696,37104,26584,3519648,2859714,2759194.1831417,1796520,1466961,1406181.09157085,0.816557010219758,1.04322338622919,669,687,588
172,43007,512,13,11,8,24200,24680,18072,1290210,1118182,1050894.18424059,669305,583771,543519.092120294,0.87220474970305,1.07405794656206,464,381,467
427,111104,512,13,11,9,28344,28592,22968,3333120,2888704,2832667.88984745,1694904,1472944,1439301.94492372,0.86904273044373,1.02337386897512,552,464,438
218,56205,256,13,10,9,17144,17328,15888,1686150,1348920,1406077.78719331,860219,691788,718926.893596657,0.804199860733139,0.962250829898871,347,271,236
586,146688,256,12,10,9,14416,14416,13496,4107264,3520512,3624575.8009683,2068048,1774672,1825783.90048415,0.858138689237387,0.972005503789032,273,223,264
174,48910,512,13,11,9,19792,19840,15456,1467300,1271660,1179953.34438779,753442,655670,605432.672193894,0.870232877912301,1.08297756317653,327,375,422
